title,genre,year,rating,votes,director,duration_min,country,box_office_million
The Flash,Action,2015,5.7,2014579,Quentin Tarantino,130,Japan,313.21
The Incredibles,Romance,2022,8.9,3139929,Quentin Tarantino,169,Australia,1583.17
The Social Network,Sci-Fi,2003,6.8,3081232,Greta Gerwig,183,Spain,1457.94
Mad Max: Fury Road,Adventure,2022,9.5,2149917,Denis Villeneuve,176,India,406.42
Wonder Woman,Drama,2010,9,4478815,Ridley Scott,129,South Korea,644.52
Kung Fu Panda,Drama,2013,5.6,1476510,Christopher Nolan,152,South Korea,2747.3
Catch Me If You Can,Fantasy,1993,8,43193,Peter Jackson,197,France,2738.26
Coco,Sci-Fi,2014,9.3,3050593,Quentin Tarantino,181,Spain,711.18
Divergent,Animation,1986,8.1,1547504,Ryan Coogler,207,Canada,1611.88
Iron Man,Thriller,1995,7.4,3314812,Denis Villeneuve,206,Spain,212.17
Inglourious Basterds,Sci-Fi,2004,4.9,3629985,Robert Zemeckis,93,France,2686.55
Wall-E,Animation,2015,9.1,1027224,Peter Jackson,126,India,1550.79
Catch Me If You Can,Sci-Fi,2002,6.2,4301706,Martin Scorsese,181,India,1758.45
Dune,Fantasy,2008,6,312596,Ridley Scott,127,India,829.75
The Revenant,Drama,1997,9.3,3024082,Ryan Coogler,93,South Korea,492.05
Toy Story,Sci-Fi,1988,6.5,1767224,Christopher Nolan,88,Japan,1793.67
Goodfellas,Sci-Fi,2011,7.1,3262993,Peter Jackson,115,UK,1077.82
Get Out,Action,2017,6.2,145688,Steven Spielberg,96,India,325.16
Big Hero 6,Drama,2004,8.3,4267892,James Cameron,191,Spain,2403.92
The Ring,Sci-Fi,1995,7.1,71065,Sam Raimi,188,Germany,2678.67
Memento,Comedy,2014,4.9,2522437,Ryan Coogler,120,UK,850.52
The Social Network,Drama,1993,8.4,4243306,Tim Burton,138,Japan,462.54
Thor: Ragnarok,Action,1981,7.1,4112343,Tim Burton,128,France,2529.03
Frozen II,Romance,2011,7.9,4647634,Denis Villeneuve,167,Germany,1846.66
Doctor Strange: Multiverse of Madness,Adventure,2000,5.6,272652,James Cameron,131,Japan,611.97
Avatar,Animation,2016,5.5,3003735,Denis Villeneuve,191,India,1135.09
Inglourious Basterds,Fantasy,1992,8.4,2306456,Denis Villeneuve,121,USA,911.56
Parasite,Romance,2001,9.4,3876393,Patty Jenkins,111,UK,1726.72
Pulp Fiction,Romance,2008,5.7,3869479,Ridley Scott,148,France,500.53
Tenet,Fantasy,2005,6.2,585878,Christopher Nolan,111,Canada,218.33
Us,Fantasy,1995,4.6,4033674,Ridley Scott,192,USA,1500.24
Us,Romance,1996,9.4,3120412,Zack Snyder,137,Canada,2527.92
Schindler's List,Thriller,1983,5.5,3753420,Martin Scorsese,209,USA,1490.94
The Conjuring,Fantasy,1991,6.8,430380,Zack Snyder,148,Canada,1901.02
Us,Adventure,2014,6.9,130761,Tim Burton,198,France,568.28
Moana,Animation,2004,4.5,159501,James Cameron,192,Germany,835.3
Inglourious Basterds,Drama,2006,5.3,350341,Sam Raimi,95,UK,1724.94
Kung Fu Panda,Drama,1984,8.8,966258,Sam Raimi,207,Spain,2760.14
The Prestige,Adventure,1988,6.6,2951020,Greta Gerwig,91,France,2550.7
Iron Man,Comedy,2007,7.4,2915011,Martin Scorsese,204,Japan,329.45
Big Hero 6,Action,2017,7.6,1060997,Denis Villeneuve,187,Spain,2733.88
Guardians of the Galaxy,Thriller,1993,5.1,1704731,Patty Jenkins,89,Spain,889.13
Ratatouille,Drama,2008,6.5,3606979,Steven Spielberg,127,UK,2337.9
The Shawshank Redemption,Sci-Fi,2019,8.5,4462984,Ridley Scott,171,Canada,1588.67
The Suicide Squad,Horror,2004,6.6,3205225,Patty Jenkins,134,Spain,10.08
Oppenheimer,Drama,2014,6.1,635354,Zack Snyder,196,Japan,2412.26
"Monsters, Inc.",Horror,1981,8.5,3363845,Robert Zemeckis,124,USA,2103.85
Gladiator,Comedy,2022,7.8,1828588,Christopher Nolan,206,Japan,2284.76
Tenet,Adventure,2001,7.4,2577336,Ridley Scott,112,South Korea,2276.65
Spider-Man: No Way Home,Action,1983,8.6,1360969,Greta Gerwig,118,France,677.19
Doctor Strange,Adventure,1993,7.2,3843553,Patty Jenkins,115,UK,2242.7
Up,Thriller,2003,6.8,2372960,Steven Spielberg,86,USA,668.4
The Conjuring,Drama,2010,8.1,1948392,Martin Scorsese,120,Japan,1834.42
Avatar,Action,2022,4.8,2609000,Denis Villeneuve,147,France,1780.95
Black Panther,Fantasy,1982,5.2,1961622,Ryan Coogler,147,India,491.33
Hereditary,Thriller,2020,7.4,2787464,Ryan Coogler,181,France,2573.53
Frozen II,Drama,2012,8.5,3004754,Patty Jenkins,209,USA,1508.52
Captain America: Civil War,Romance,2004,6.9,1745458,Martin Scorsese,141,South Korea,53.14
Dunkirk,Animation,2013,6.6,3234358,Peter Jackson,101,South Korea,403.01
Goodfellas,Action,2019,9.2,1879763,Robert Zemeckis,168,Japan,2032.44
Gladiator,Comedy,2021,9.5,2128434,Tim Burton,130,South Korea,2384.69
Ant-Man,Sci-Fi,1991,9.4,2045711,Christopher Nolan,197,UK,1353.37
The Departed,Action,2021,5.9,1670211,Ridley Scott,181,USA,1809.41
Frozen,Horror,1994,8.4,3519074,Sam Raimi,186,Australia,680.27
Joker,Thriller,2009,8.5,2201210,Ridley Scott,80,Australia,646.17
Oppenheimer,Adventure,2006,5.8,726198,Peter Jackson,109,Canada,1616.92
Birdman,Fantasy,2023,7.2,3543652,Peter Jackson,131,Spain,689.63
The Social Network,Comedy,2022,6.3,878511,Greta Gerwig,99,Canada,2101.34
Birdman,Adventure,2011,7.1,4438484,Greta Gerwig,86,Australia,242.96
Soul,Horror,1998,7.2,1514053,Christopher Nolan,121,Australia,2759.83
Avengers: Endgame,Comedy,2021,9.2,4661744,Martin Scorsese,201,UK,1234.51
The Lion King,Adventure,2000,8.6,1029965,Greta Gerwig,96,Spain,2516.66
Doctor Strange,Romance,2004,6.7,108177,James Cameron,161,Spain,2651.73
Django Unchained,Adventure,2010,9.5,4242525,Patty Jenkins,154,India,1417.87
The Incredibles,Sci-Fi,1990,5.2,4479947,Quentin Tarantino,107,South Korea,146.1
X-Men: Days of Future Past,Fantasy,1987,8,97957,Steven Spielberg,149,USA,2062.49
Black Panther,Sci-Fi,2010,4.7,4821696,Quentin Tarantino,153,India,879.03
The Incredibles,Animation,2008,9.5,571501,Quentin Tarantino,99,USA,1640.68
Logan,Romance,2021,9.5,4734041,Robert Zemeckis,88,Australia,2653.8
Get Out,Action,2023,9.7,3758496,Peter Jackson,112,South Korea,1213.33
Doctor Strange: Multiverse of Madness,Action,1985,8.8,1815350,Christopher Nolan,137,Canada,452.23
Titanic,Drama,2008,5.5,460462,Steven Spielberg,210,Australia,1440.93
It Chapter Two,Action,1986,6.1,958597,Patty Jenkins,136,France,810.39
The Ring,Fantasy,2003,8.3,4226197,Denis Villeneuve,85,Spain,1973.55
Insidious,Fantasy,1998,7.4,4053028,Martin Scorsese,146,South Korea,2275.79
Arrival,Thriller,2007,4.8,1735726,Zack Snyder,101,India,1719.11
Memento,Sci-Fi,1989,6.8,2610114,Greta Gerwig,199,USA,567.42
Divergent,Adventure,2008,6,90187,Christopher Nolan,100,Germany,2498.08
The Social Network,Comedy,2003,5,4851628,Tim Burton,107,France,1483.79
Soul,Horror,1996,7.4,4904943,James Cameron,123,France,2036.32
Doctor Strange: Multiverse of Madness,Action,1999,5.6,4802691,Peter Jackson,156,Spain,2025.32
Barbie,Horror,2002,7.9,3361170,Steven Spielberg,92,Germany,665.38
The Suicide Squad,Romance,2011,5.6,579612,Ridley Scott,179,France,1144.33
Man of Steel,Animation,2017,5.1,4526483,Peter Jackson,101,France,1801.86
Us,Sci-Fi,1993,8.8,557759,Patty Jenkins,93,Canada,269.27
Frozen II,Fantasy,2005,8.1,4020004,Sam Raimi,194,India,1167.74
Soul,Romance,2017,5.9,2834357,Steven Spielberg,171,UK,598.61
The Exorcist,Adventure,1998,5.4,83300,Ryan Coogler,112,Canada,749.25
The Social Network,Romance,2017,4.8,3281077,Christopher Nolan,192,UK,400.15
Arrival,Drama,1997,8.6,339122,Ridley Scott,170,France,262.1
Justice League,Sci-Fi,2012,6.4,4643906,Ryan Coogler,125,Canada,641.09
Maze Runner,Adventure,1980,6.6,4445762,Christopher Nolan,181,USA,1939.11
Shrek,Drama,2023,6.8,4552543,Ridley Scott,185,Spain,2088.35
Fight Club,Fantasy,2023,7.5,2084169,Sam Raimi,206,UK,2355.06
The Hunger Games,Sci-Fi,2000,8.1,1028337,Patty Jenkins,134,Japan,180.94
Dunkirk,Thriller,1999,8.1,1104657,Robert Zemeckis,205,Spain,1111.53
Luca,Action,1992,4.5,4847516,Quentin Tarantino,125,Spain,1227.69
The Flash,Animation,2007,7.9,1863228,Greta Gerwig,169,India,2193.63
Shang-Chi,Drama,1986,6,245852,Martin Scorsese,130,UK,767.11
Brave,Action,1986,6.9,2997865,Patty Jenkins,97,USA,821.81
Blade Runner 2049,Drama,2002,7.8,2836334,Steven Spielberg,130,France,1970.33
Inception,Animation,2010,5.4,4098803,Zack Snyder,157,Australia,477.27
Goodfellas,Drama,1980,7.2,927854,Ridley Scott,171,Canada,2645.08
Spider-Man: No Way Home,Drama,2010,8,591585,Christopher Nolan,181,Spain,451.34
Deadpool,Sci-Fi,1982,6.5,311496,Greta Gerwig,112,UK,2460.29
Ratatouille,Drama,2015,5.3,3069323,Steven Spielberg,134,Japan,1048.67
Big Hero 6,Romance,2010,8.2,2852373,Greta Gerwig,104,Germany,2714.15
Fight Club,Adventure,2014,6.3,2068331,Steven Spielberg,206,France,892.14
Thor: Ragnarok,Comedy,1992,9.7,4769639,Martin Scorsese,135,Japan,716.04
A Quiet Place,Drama,1987,7.2,4429428,Zack Snyder,168,UK,2326.02
Twilight,Thriller,2008,5,3024146,Robert Zemeckis,187,India,420.34
Black Panther,Drama,1991,6.6,1945275,Ryan Coogler,186,UK,1076.29
The Irishman,Sci-Fi,1986,6,4519879,Robert Zemeckis,168,Canada,2358.08
Goodfellas,Romance,1980,7.4,3696296,Ridley Scott,155,Germany,1533.04
The Social Network,Adventure,2010,9,775659,Ridley Scott,120,UK,2683.65
La La Land,Action,2023,6.9,2213908,Peter Jackson,160,Spain,112.8
Justice League,Comedy,1994,5.5,3141152,Greta Gerwig,84,Germany,2471.64
Birdman,Thriller,2019,8.5,3070283,Patty Jenkins,174,Germany,742.5
It,Thriller,2010,4.8,4564793,Ridley Scott,153,Canada,1136.32
Avatar,Comedy,2021,5,1405091,Ridley Scott,185,India,2131.28
Brave,Comedy,1997,9.5,3629758,Steven Spielberg,126,Spain,2187.62
Justice League,Drama,2007,6,2178083,James Cameron,133,UK,1803.66
The Matrix,Animation,2016,7.3,3821279,Tim Burton,168,Japan,2480.44
Barbie,Action,2016,7.7,1185766,Patty Jenkins,187,Spain,1640.26
Divergent,Animation,1984,7.2,2233857,Greta Gerwig,172,India,1909.82
Get Out,Animation,2005,8.4,2753902,Steven Spielberg,132,India,19.76
The Incredibles,Adventure,2000,7.8,211432,Tim Burton,201,UK,981.4
The Dark Knight,Sci-Fi,1988,9.8,1946915,Greta Gerwig,127,Canada,352.1
Deadpool,Comedy,1987,9.5,4684070,Tim Burton,135,Australia,349.56
Inside Out,Action,2015,6.9,1694160,Zack Snyder,89,UK,2068.17
Us,Horror,2010,7.4,2001409,Tim Burton,138,India,1119.01
Shang-Chi,Action,2023,4.9,633043,Robert Zemeckis,100,Canada,71.61
The Batman,Animation,1985,8.5,293187,Robert Zemeckis,153,India,1012.53
Fight Club,Horror,1987,6,3944295,Peter Jackson,204,Australia,809.24
Dune,Romance,1991,9.5,3354089,Robert Zemeckis,150,Australia,1746.82
The Lion King,Romance,2008,7.1,1804772,Zack Snyder,169,India,1861.54
Coco,Fantasy,1998,6.5,1813156,Denis Villeneuve,187,Spain,237.07
Logan,Adventure,1988,9.5,728302,Patty Jenkins,141,USA,1374.86
The Exorcist,Fantasy,2016,5.1,4344113,Ridley Scott,149,Australia,1453.26
Parasite,Fantasy,2004,7,2964575,Quentin Tarantino,86,Germany,2455.51
Man of Steel,Adventure,1980,7.8,229244,Robert Zemeckis,171,France,2059.83
Thor: Ragnarok,Adventure,1997,9.7,759146,Peter Jackson,190,Japan,2221.9
Inception,Comedy,2001,8.1,804144,James Cameron,189,France,1676.57
Finding Nemo,Thriller,2020,7.8,1327926,Christopher Nolan,151,France,1113.87
Inglourious Basterds,Romance,1992,5.6,46154,Ryan Coogler,206,France,228.75
Pulp Fiction,Sci-Fi,2023,6.2,3555200,Ridley Scott,179,France,1577.69
Captain America: Civil War,Fantasy,1998,9.4,125900,Tim Burton,144,Germany,1353.42
The Ring,Comedy,2007,4.8,1052032,Greta Gerwig,145,USA,1938.78
Thor: Love and Thunder,Drama,2023,8.7,637061,Ryan Coogler,88,Germany,2304.38
The Ring,Adventure,1992,4.9,2341196,Quentin Tarantino,99,Germany,2584.86
Shang-Chi,Sci-Fi,2008,9.1,1787777,Sam Raimi,136,Australia,43.92
Interstellar,Adventure,1997,6.5,2027931,Sam Raimi,191,France,1483.84
Blue Beetle,Romance,1987,6.9,316416,Quentin Tarantino,199,Australia,113.04
The Suicide Squad,Sci-Fi,2008,4.9,523877,Peter Jackson,169,Spain,224.57
Django Unchained,Sci-Fi,2023,6.9,3192308,Ridley Scott,116,UK,872.89
Justice League,Sci-Fi,1995,8,4995930,Christopher Nolan,80,UK,1939.89
Mad Max: Fury Road,Fantasy,2000,7.9,3005136,Zack Snyder,210,Spain,568.63
Soul,Comedy,2013,8.9,2055225,Steven Spielberg,136,Germany,565.09
Shutter Island,Thriller,2021,7.8,4086785,Martin Scorsese,88,Japan,202.47
Maze Runner,Action,2011,5.5,4765604,Greta Gerwig,174,Australia,1576.28
Parasite,Action,1992,8.5,4766784,James Cameron,195,Japan,677.13
Memento,Horror,2003,9.4,2214824,Christopher Nolan,113,Japan,1839.71
Birdman,Horror,2015,8.5,4938845,Denis Villeneuve,99,Spain,2092.22
Blade Runner 2049,Thriller,2004,8.6,636418,Steven Spielberg,138,Spain,139.18
Blue Beetle,Thriller,2002,8.7,4854859,Robert Zemeckis,182,Japan,1526.7
Avatar,Romance,1990,9,1263708,James Cameron,156,Canada,1889.82
Superman,Horror,1991,5,4166582,Zack Snyder,82,India,1839.44
La La Land,Horror,1984,7.6,1475278,Sam Raimi,152,USA,990.96
Divergent,Animation,2010,6.6,719197,Patty Jenkins,206,Japan,249.93
Arrival,Animation,2005,5.2,4947214,Christopher Nolan,133,USA,1212.8
The Shawshank Redemption,Drama,2008,5.1,913720,Patty Jenkins,153,Canada,1357.61
Blue Beetle,Drama,2000,9.3,3564857,Christopher Nolan,93,Spain,2174.4
Big Hero 6,Romance,1980,8.6,3559855,Greta Gerwig,157,France,2319.41
Us,Horror,2019,9.3,3544084,Sam Raimi,180,Japan,1975.68
Blue Beetle,Romance,2010,5.1,4967405,Ridley Scott,106,India,128.71
Parasite,Adventure,1984,9.1,4879116,Quentin Tarantino,173,Australia,2066.02
Frozen II,Comedy,1988,9.5,3809373,Quentin Tarantino,89,South Korea,2020.88
Schindler's List,Fantasy,2012,4.7,1160955,Robert Zemeckis,151,Australia,2079.79
Soul,Animation,2019,8.6,1302855,Ryan Coogler,199,Australia,427.88
Captain America: Civil War,Action,1986,5.7,3293656,Ryan Coogler,165,UK,1294.54
Eternals,Fantasy,1983,7.6,1566494,Steven Spielberg,157,USA,689.09
Luca,Drama,1998,6.8,2757506,Ridley Scott,101,USA,2157.11
Maze Runner,Comedy,1989,9.6,3487294,Ryan Coogler,210,India,1878.05
Toy Story,Animation,1985,7.7,1490120,Tim Burton,81,Germany,1069.61
Aquaman,Sci-Fi,1987,9,1790097,Steven Spielberg,176,Germany,1082.12
Shrek,Thriller,2018,7.2,4061418,Steven Spielberg,103,India,776.53
Logan,Sci-Fi,2019,5.9,3080989,Peter Jackson,165,UK,2736.24
Avengers: Endgame,Adventure,1999,4.6,2154639,Greta Gerwig,113,Germany,1115.61
Frozen II,Fantasy,2012,5.6,809716,James Cameron,89,Canada,2796.7
Blue Beetle,Adventure,2000,8.5,1116144,Denis Villeneuve,166,Spain,681.59
The Revenant,Horror,2009,9.2,1357407,James Cameron,96,Germany,2762.61
It,Drama,2018,5.6,129557,Greta Gerwig,127,Canada,737.83
The Incredibles,Action,2009,7.7,4106625,Ridley Scott,188,UK,1084.64
It Chapter Two,Horror,2021,7,3788445,Christopher Nolan,128,India,589.75
Divergent,Animation,2005,7.5,4540875,Denis Villeneuve,161,UK,1859.67
Soul,Adventure,1993,6.8,1385015,Christopher Nolan,92,USA,799.82
Logan,Thriller,1996,8.4,1991746,James Cameron,95,France,316.76
Zootopia,Romance,2019,7,599704,Ryan Coogler,179,Japan,117.16
Thor: Love and Thunder,Drama,1981,4.8,2270024,Denis Villeneuve,132,Canada,761.22
Shang-Chi,Adventure,1984,6.8,3009998,Patty Jenkins,173,UK,338.48
Ratatouille,Adventure,2006,5,2314653,Tim Burton,141,UK,1234.55
The Hunger Games,Adventure,2016,6.4,2969527,Steven Spielberg,175,France,393.74
X-Men: Days of Future Past,Adventure,2011,8,1043846,Peter Jackson,120,Australia,886.37
Inglourious Basterds,Adventure,1983,5.8,2085648,Robert Zemeckis,139,Canada,2621.59
Birdman,Drama,1999,7.7,3400582,Quentin Tarantino,210,Canada,134.09
The Batman,Fantasy,1998,6.1,3392380,Peter Jackson,142,India,2547.13
Titanic,Comedy,1993,7.5,4821255,Peter Jackson,119,USA,2329.68
Schindler's List,Drama,2000,9.6,2103514,Zack Snyder,116,Australia,1274.95
Pulp Fiction,Sci-Fi,2002,4.7,4298587,Christopher Nolan,92,Germany,1727.04
The Hunger Games,Romance,2011,6.3,1334848,Zack Snyder,123,Germany,887.92
Thor: Love and Thunder,Adventure,1987,4.8,4427419,Quentin Tarantino,190,Canada,1763.44
Ant-Man,Sci-Fi,2023,9.3,3566355,Zack Snyder,182,Canada,2472.77
Man of Steel,Comedy,1986,7.3,1642390,Denis Villeneuve,132,Canada,442.23
The Suicide Squad,Adventure,1988,7.3,21679,Tim Burton,130,Spain,2349.44
Tenet,Sci-Fi,2001,8.1,1365280,Martin Scorsese,149,Germany,305.55
Interstellar,Romance,1981,5,4229386,Greta Gerwig,121,Canada,517.51
The Conjuring,Adventure,1980,5.8,4022753,Martin Scorsese,182,India,90.52
Oppenheimer,Adventure,2007,9.4,988575,Martin Scorsese,196,Germany,2775.95
Shang-Chi,Drama,1992,6.7,4581217,Robert Zemeckis,192,South Korea,1701.22
Inception,Fantasy,1995,7.3,4410473,Ridley Scott,133,Australia,244.69
Fight Club,Adventure,2020,9.2,3094675,Steven Spielberg,153,UK,1431.04
Iron Man,Comedy,2010,6.8,2114520,Christopher Nolan,187,Canada,2475.21
Dune,Comedy,2022,5.6,3492132,Tim Burton,162,France,2643.67
A Quiet Place,Animation,2008,7.8,1924306,Martin Scorsese,155,Japan,1805.87
Arrival,Action,2016,6.2,1636818,Quentin Tarantino,185,UK,1186.49
Avatar,Fantasy,1987,6.4,4888301,Peter Jackson,155,Spain,1304.71
Divergent,Comedy,1996,6.7,4026786,Martin Scorsese,120,UK,39.58
Venom,Horror,1991,8.8,4771370,Sam Raimi,97,France,6.97
Doctor Strange: Multiverse of Madness,Fantasy,2004,8.6,4045240,Steven Spielberg,162,India,1300.54
Thor: Love and Thunder,Comedy,2020,7,3986719,Patty Jenkins,114,Japan,1599.6
The Shawshank Redemption,Fantasy,1995,9.6,1556350,Steven Spielberg,161,South Korea,2713.68
Blade Runner 2049,Drama,1992,4.9,1897771,Ryan Coogler,126,South Korea,2717.71
Barbie,Sci-Fi,1980,7.5,3613653,Peter Jackson,111,Japan,1559.36
Birdman,Horror,1996,9,2359769,James Cameron,176,South Korea,40.06
Inglourious Basterds,Animation,1986,5,567402,Martin Scorsese,124,France,602.34
Pulp Fiction,Horror,2004,8,1098900,Ridley Scott,204,Canada,750.66
Big Hero 6,Adventure,1999,4.8,4282407,Ridley Scott,182,Spain,2199.91
Mad Max: Fury Road,Adventure,1992,7.8,1196869,Tim Burton,185,Australia,1927.61
Logan,Action,2014,7.6,3432134,Denis Villeneuve,123,France,1443.97
Deadpool,Thriller,1995,6.8,972011,Christopher Nolan,206,Germany,1345.2
Shutter Island,Comedy,2007,5,1360074,Zack Snyder,148,Spain,736.72
Catch Me If You Can,Comedy,2019,6.9,4406671,Zack Snyder,130,USA,1002.71
Joker,Fantasy,1997,7.1,3765968,Tim Burton,193,France,662.01
Wall-E,Sci-Fi,2015,7.3,4856758,Sam Raimi,109,Japan,2403.37
Dunkirk,Animation,1982,7.5,97668,Zack Snyder,209,India,1444.06
Avatar,Drama,2021,7.9,1851379,Steven Spielberg,87,France,1367.15
Iron Man,Adventure,1998,9.5,4600867,Ryan Coogler,157,UK,1861.93
Pulp Fiction,Animation,1994,8.8,2959893,Peter Jackson,91,Canada,309.71
Divergent,Drama,2016,5.6,632354,Martin Scorsese,203,Germany,2268.95
Dune,Action,1985,8.5,219513,James Cameron,111,Germany,1097.14
It,Thriller,1984,8.7,1967467,Peter Jackson,196,France,518.25
The Shawshank Redemption,Comedy,2012,9,675758,Christopher Nolan,118,UK,2128.5
The Flash,Comedy,2021,6.8,998678,Denis Villeneuve,182,Spain,2699.76
Pulp Fiction,Drama,2004,7.6,2141052,Zack Snyder,101,Spain,1309.59
Hereditary,Drama,1993,7.9,1220377,Quentin Tarantino,151,Spain,1768.84
Gladiator,Comedy,2002,7.6,3217569,Quentin Tarantino,94,Japan,1342.02
A Quiet Place,Horror,1986,7.3,116839,Peter Jackson,175,Canada,849.63
Blade Runner 2049,Thriller,2018,8.7,3097469,Martin Scorsese,138,India,1422.07
Forrest Gump,Horror,1991,7.7,1270323,Quentin Tarantino,191,Canada,490.86
The Hunger Games,Fantasy,2013,4.9,2663341,Ridley Scott,172,Spain,2069.57
Captain America: Civil War,Sci-Fi,2004,8.7,3113881,Ridley Scott,118,Australia,927.54
Coco,Adventure,2012,6.2,1557349,Ryan Coogler,88,UK,984.31
Avatar,Adventure,1989,8.9,4847176,Martin Scorsese,147,Germany,2085.3
Schindler's List,Adventure,2016,5.7,4582381,Ryan Coogler,117,Australia,191.42
Frozen II,Romance,1998,7.4,4672120,Sam Raimi,170,France,1264.82
Aquaman,Adventure,2004,6.2,3860887,James Cameron,171,Japan,2451.92
Doctor Strange,Comedy,2008,5.4,3761803,Patty Jenkins,122,Germany,793.83
Thor: Love and Thunder,Animation,2007,7.6,4274410,Ryan Coogler,195,Canada,1497.26
Avengers: Endgame,Animation,1986,8,3815341,Steven Spielberg,154,Spain,1833.77
Hereditary,Action,1985,7.8,4452733,Tim Burton,160,Canada,952.72
Guardians of the Galaxy,Romance,2006,8.6,4118068,James Cameron,194,Australia,2376.32
Doctor Strange,Adventure,2010,9.7,3311874,Steven Spielberg,124,Japan,1602.34
The Flash,Romance,1991,9.6,2489401,Peter Jackson,85,South Korea,1753.89
The Lion King,Animation,1999,7.6,4484169,Zack Snyder,123,Japan,164.89
Fight Club,Comedy,2022,7.9,69821,Ryan Coogler,206,Germany,1535.99
Birdman,Horror,2014,7.9,860080,Denis Villeneuve,173,South Korea,2091.99
Big Hero 6,Action,1985,9.2,347410,Ryan Coogler,89,Canada,1757.44
The Hunger Games,Romance,2006,9.1,89483,Tim Burton,191,South Korea,221.92
Insidious,Action,2003,8.9,3426466,Robert Zemeckis,178,UK,560.48
Superman,Action,1993,9,2812862,Tim Burton,180,Australia,913.11
Black Panther,Horror,1999,9.2,3629102,James Cameron,133,UK,221.64
Captain America: Civil War,Thriller,1999,7.7,877314,Patty Jenkins,185,Australia,700.76
The Departed,Horror,1988,5.9,4158596,Peter Jackson,155,Spain,1681.15
Goodfellas,Thriller,1993,7.1,3753176,Denis Villeneuve,111,USA,1686.88
Wall-E,Action,1990,6.2,2593453,Tim Burton,108,Australia,1022.68
